Bezirk;Staße;Bereich;Abschnitte;Kosten (€)
Neukölln;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Treptow-Köpenick;Wegedornstr.;beiderseits Semmelweisstr.;2;160000
Treptow-Köpenick;Fürstenwalder Allee;Übergangsbereich zum Fürstenwalder Damm;1;80000
Treptow-Köpenick;Fürstenwalder Allee;Südseite Fahlenbergstraße-Landesgrenze;3;240000
Treptow-Köpenick;Müggelheimer Straße;einzelne Teilabschnitte;3;240000
Treptow-Köpenick;An der Wuhlheide;Südseite westlich Weiskopffstr.;3;240000
Treptow-Köpenick;Adlergestell;S-Bhf. Grünau - Kablower Weg;1;80000
Treptow-Köpenick;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Marzahn-Hellersdorf;Bitterfelder Str.;Nordseite westlich Klettwitzer Str.;1;80000
Marzahn-Hellersdorf;Radweg an Straßenbahntrasse;beiderseits Wuhletalstr.;4;320000
Marzahn-Hellersdorf;Allee der Kosmonauten;Radwegsanierung Rhinstr.-Meeraner Str.;1;80000
Marzahn-Hellersdorf;Weg Hoyerswerdaer Str.-Hönow;Asphaltierung Radwegeverbindung;2;160000
Marzahn-Hellersdorf;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Lichtenberg;Paul-und-Paula-Ufer;Verbreiterung für getrennten Radweg;2;160000
Lichtenberg;Wallensteinstraße;Asphaltstreifen Fahrbahn;1;80000
Lichtenberg;Falkenberger Chaussee;vor Pablo-Picasso-Str.;1;80000
Lichtenberg;Rhinstraße;beiderseits Brücke über Bahn;5;400000
Lichtenberg;Hansastr.;erste Teilabschnitte;2;160000
Lichtenberg;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Reinickendorf;Ollenhauerstraße;Lückenschluss ggü. Kaufland;1;80000
Reinickendorf;Oraniendamm-Berliner Str.;mit Querungshilfe am Robinienweg;2;160000
Reinickendorf;Durchfahrt Tornower Weg;Verbindungsweg zum Wilhelmsruher D.;1;80000
Reinickendorf;Jugendverkehrsschulen;Fahrbahnsanierung;1;80000
Reinickendorf;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
